"NUMERO_U,SIT,NOME,CPF,RG,FONE1,BAIRRO,CIDADE,FONE2,EMAIL,CEP,LOGRADOURO,NUMERO,TIPO_P,DATA_NASC,DATA_CAD,SEXO,ESTADO"
"11,1,Flávia Mariane Peixoto,302.198.139-90,23.201.077-8,(96) 3667-6909,Jardim Marco Zero,Macapá,(96) 98930-3412,fflaviamarianepeixoto@vemter.com.br,68903-361,Avenida Equatorial,842,2,03/10/1979,07/07/2007,Feminino,AP"
"12,2,Henry Rodrigues,760.174.586-47EEE,49.345.937-6,(67) 2677-7853,Residencial Villa Lobos,Campo Grande,(67) 99269-4777,henryjoaorodrigues_@abrangenciacorretora.com.br,79095-375,Rua Osvaldo G Junior,981,2,03/05/1985,04/07/2006,Masculino,MS"
"13,1,Aurora Isis Carolina Oliveira,066.761.538-58,23.423.429-5,(61) 2868-6318,Asa Sul,Brasí­lia,(61) 98370-1218,auroraisiscarolinaoliveira..auroraisiscarolinaoliveira@solviagens.com,70380-705,Quadra SHIGS 713 Bloco E,601,3,06/02/1998,06/09/1999,Feminino,DF"
"14,2,Daiane Mariah Ester Moura,004.805.014-83,12.579.739-4,(21) 2565-7528,Parque Guandu,Japeri,(21) 98573-2842,daianemariahestermoura_@atiara.com.br,26425-330,Travessa Sheila,503,3,13/03/1983,12/04/1993,Feminino,RJ"
"15,1,Bárbara Luiza Aragão,296.039.882-35,12.550.072-5,(61) 3749-4858,Mont Serrat Paiva,Novo Gama,(61) 98978-7807,barbaracecilialuizaaragao_@academiahct.com.br,72863-306,Quadra Quadra 6,953,3,05/08/1984,03/01/2018,Feminino,GO"
"16,3,Diego Igor Sebastião da Luz,224.901.819-71,25.187.005-4,(96) 3720-7460,Marabaixo,Macapá,(96) 99319-2040,diegoigorsebastiaodaluz..diegoigorsebastiaodaluz@fiorecomunicacao.com.br,68909-848,Avenida Décima Primeira,211,1,26/09/1941,12/01/1960,Masculino,AP"
"17,3,André Julio Ramos,493.323.829-48,31.604.969-4,(85) 2852-7345,Jangurussu,Fortaleza,(85) 98583-5082,andrejulioramos-76,60870-540,Rua Itagua,121,1,27/05/1997,13/01/2002,Masculino,CE"
"18,2,João Thiago da Rocha,421.871.603-00,46.361.953-5,(84) 3568-0072,Centro,Mossoró,(84) 98723-1968,josethiagodarocha-77@sestito.com.br,59610-080,Rua Doutor Mario Negócio,871,3,14/04/1942,01/01/2001,Masculino,RN"
"19,1,Igor Hugo Nogueira,329.550.529-22,38.454.039-9,(62) 3708-2529,Setor Fabrí­cio,Aparecida de Goiânia,(62) 99466-2170,igorhugonogueira_@dcazzainteriores.com.br,74969-317,Rua Diamante,497,2,23/07/1953,10/07/1994,Masculino,GO"
"20,1,Enrico Miguel Cavalcanti,427.099.169-08,41.396.973-3,(54) 2635-7259,Santa Marta,Passo Fundo,(54) 98609-1443,enricomiguelcavalcanti__enricomiguelcavalcanti@aircominternational.com,99036-493,Travessa Celeste Souza dos Santos,589,1,25/02/2002,02/09/1993,Masculino,RIO GRANDE DO SUL"
",,,,,,,,,,,,,,,,,"
",,,,,,,,,,,,,,,,,"
",,,,,,,,,,,,,,,,,"
",,,,,,,,,,,,,,,,,"
",,,,,,,,,,,,,,,,,"
",,,,,,,,,,,,,,,,,"
",,,,,,,,,,,,,,,,,"
",,,,,,,,,,,,,,,,,"
",,,,,,,,,,,,,,,,,"
",,,,,,,,,,,,,,,,,"
",,,,,,,,,,,,,,,,,"
",,,,,,,,,,,,,,,,,"
",,,,,,,,,,,,,,,,,"
",,,,,,,,,,,,,,,,,"
",,,,,,,,,,,,,,,/,,"
